year,order,name,conditions,surface,fin_commit,winner,winner_slug,currency,amount
2004,60,Metz,Indoor,Hard,"$380,000",Jerome Haehnel,jerome-haehnel,$,380000.0
2004,61,Moscow,Indoor,Carpet,"$1,000,000",Nikolay Davydenko,nikolay-davydenko,$,1000000.0
2004,62,Vienna,Indoor,Hard,"$682,750",Feliciano Lopez,feliciano-lopez,$,682750.0
2004,63,ATP Masters Series Madrid,Indoor,Hard,"$2,425,500",Marat Safin,marat-safin,$,2425500.0
2004,64,Basel,Indoor,Carpet,"$1,000,000",Jiri Novak,jiri-novak,$,1000000.0
2004,65,St. Petersburg,Indoor,Carpet,"$1,000,000",Mikhail Youzhny,mikhail-youzhny,$,1000000.0
2004,66,Stockholm,Indoor,Hard,"$643,750",Thomas Johansson,thomas-johansson,$,643750.0
2004,67,ATP World Tour Masters 1000 Paris,Indoor,Hard,"$2,425,500",Marat Safin,marat-safin,$,2425500.0
2004,68,Tennis Masters Cup,Outdoor,Hard,"$3,700,000",Roger Federer,roger-federer,$,3700000.0
2005,0,Adelaide,Outdoor,Hard,"$419,000",Joachim Johansson,joachim-johansson,$,419000.0
2005,1,Chennai,Outdoor,Hard,"$380,000",Carlos Moya,carlos-moya,$,380000.0
2005,2,Doha,Outdoor,Hard,"$1,000,000",Roger Federer,roger-federer,$,1000000.0
2005,3,Auckland,Outdoor,Hard,"$426,000",Fernando Gonzalez,fernando-gonzalez,$,426000.0
2005,4,Sydney,Outdoor,Hard,"$419,000",Lleyton Hewitt,lleyton-hewitt,$,419000.0
2005,5,Australian Open,Outdoor,Hard,"$6,743,444",Marat Safin,marat-safin,$,6743444.0
2005,6,Delray Beach,Outdoor,Hard,"$380,000",Xavier Malisse,xavier-malisse,$,380000.0
2005,7,Milan,Indoor,Carpet,"$380,000",Robin Soderling,robin-soderling,$,380000.0
2005,8,Viña del Mar,Outdoor,Clay,"$380,000",Gaston Gaudio,gaston-gaudio,$,380000.0
2005,9,Buenos Aires,Outdoor,Clay,"$380,000",Gaston Gaudio,gaston-gaudio,$,380000.0
2005,10,Marseille,Indoor,Hard,"$600,000",Joachim Johansson,joachim-johansson,$,600000.0
2005,11,San Jose,Indoor,Hard,"$380,000",Andy Roddick,andy-roddick,$,380000.0
2005,12,Memphis,Indoor,Hard,"$690,000",Kenneth Carlsen,kenneth-carlsen,$,690000.0
2005,13,Rotterdam,Indoor,Hard,"$925,000",Roger Federer,roger-federer,$,925000.0
